Fecha,Edad,Susceptibles
2022-01-21,<=19,1936346.0
2022-01-22,<=19,1935068.0
2022-01-23,<=19,1933953.0
2022-01-24,<=19,1928269.0
2022-01-25,<=19,1923045.0
2022-01-26,<=19,1918454.0
2022-01-27,<=19,1913644.0
2022-01-28,<=19,1908047.0
2022-01-29,<=19,1904365.0
2022-01-30,<=19,1900106.0
2022-01-31,<=19,1892760.0
2022-02-01,<=19,1886747.0
2022-02-02,<=19,1881272.0
2022-02-03,<=19,1876481.0
2022-02-04,<=19,1871675.0
2022-02-05,<=19,1867809.0
2022-02-06,<=19,1863531.0
2022-02-07,<=19,1856620.0
2022-02-08,<=19,1849446.0
2022-02-09,<=19,1842320.0
2022-02-10,<=19,1835100.0
2022-02-11,<=19,1827970.0
2022-02-12,<=19,1821836.0
2022-02-13,<=19,1815393.0
2022-02-14,<=19,1806529.0
2022-02-15,<=19,1797772.0
2022-02-16,<=19,1789142.0
2022-02-17,<=19,1780519.0
2022-02-18,<=19,1771659.0
2022-02-19,<=19,1764448.0
2022-02-20,<=19,1757132.0
2022-02-21,<=19,1747625.0
2022-02-22,<=19,1738482.0
2022-02-23,<=19,1729847.0
2022-02-24,<=19,1721436.0
2022-02-25,<=19,1713127.0
2022-02-26,<=19,1706262.0
2022-02-27,<=19,1699432.0
2022-02-28,<=19,1691057.0
2022-03-01,<=19,1683012.0
2022-03-02,<=19,1675197.0
2022-03-03,<=19,1667621.0
2022-03-04,<=19,1660193.0
2022-03-05,<=19,1654431.0
2022-03-06,<=19,1648859.0
2022-03-07,<=19,1641428.0
2022-03-08,<=19,1634184.0
2022-03-09,<=19,1627345.0
2022-03-10,<=19,1620607.0
2022-03-11,<=19,1614050.0
2022-03-12,<=19,1609542.0
2022-03-13,<=19,1605369.0
2022-03-14,<=19,1598718.0
2022-03-15,<=19,1592672.0
2022-03-16,<=19,1587832.0
2022-03-17,<=19,1583314.0
2022-03-18,<=19,1578628.0
2022-03-19,<=19,1575430.0
2022-03-20,<=19,1572533.0
2022-03-21,<=19,1568867.0
2022-03-22,<=19,1565411.0
2022-03-23,<=19,1562071.0
2022-03-24,<=19,1558903.0
2022-03-25,<=19,1555355.0
2022-03-26,<=19,1552979.0
2022-03-27,<=19,1550843.0
2022-03-28,<=19,1548003.0
2022-03-29,<=19,1545270.0
2022-03-30,<=19,1542590.0
2022-03-31,<=19,1540016.0
2022-04-01,<=19,1537195.0
2022-04-02,<=19,1535341.0
2022-04-03,<=19,1533701.0
2022-04-04,<=19,1531410.0
2022-04-05,<=19,1529215.0
2022-04-06,<=19,1527132.0
2022-04-07,<=19,1525146.0
2022-04-08,<=19,1522706.0
2022-04-09,<=19,1521270.0
2022-04-10,<=19,1519970.0
2022-04-11,<=19,1517840.0
2022-04-12,<=19,1515964.0
2022-04-13,<=19,1514239.0
2022-04-14,<=19,1512708.0
2022-04-15,<=19,1510893.0
2022-04-16,<=19,1509943.0
2022-04-17,<=19,1509132.0
2022-04-18,<=19,1507770.0
2022-04-19,<=19,1506529.0
2022-04-20,<=19,1505406.0
2022-04-21,<=19,1504329.0
2022-04-22,<=19,1503041.0
2022-04-23,<=19,1502326.0
2022-04-24,<=19,1501725.0
2022-04-25,<=19,1500668.0
2022-04-26,<=19,1499707.0
2022-04-27,<=19,1498757.0
2022-04-28,<=19,1497769.0
2022-04-29,<=19,1497306.0
2022-04-30,<=19,1496931.0
2022-05-01,<=19,1496625.0
2022-05-02,<=19,1495888.0
2022-05-03,<=19,1495122.0
2022-05-04,<=19,1494270.0
2022-05-05,<=19,1493460.0
2022-05-06,<=19,1492590.0
2022-05-07,<=19,1492109.0
2022-05-08,<=19,1491756.0
2022-05-09,<=19,1491071.0
2022-05-10,<=19,1490429.0
2022-05-11,<=19,1489760.0
2022-05-12,<=19,1489083.0
2022-05-13,<=19,1488346.0
2022-05-14,<=19,1487924.0
2022-05-15,<=19,1487567.0
2022-05-16,<=19,1486875.0
2022-05-17,<=19,1486157.0
2022-05-18,<=19,1485377.0
2022-05-19,<=19,1484611.0
2022-05-20,<=19,1483749.0
2022-05-21,<=19,1483181.0
2022-05-22,<=19,1482666.0
2022-05-23,<=19,1481761.0
2022-05-24,<=19,1480819.0
2022-05-25,<=19,1479779.0
2022-05-26,<=19,1478708.0
2022-05-27,<=19,1477560.0
2022-05-28,<=19,1476666.0
2022-05-29,<=19,1475823.0
2022-05-30,<=19,1474552.0
2022-05-31,<=19,1473191.0
2022-06-01,<=19,1471733.0
2022-06-02,<=19,1470298.0
2022-06-03,<=19,1468807.0
2022-06-04,<=19,1467755.0
2022-06-05,<=19,1466738.0
2022-06-06,<=19,1465238.0
2022-06-07,<=19,1463647.0
2022-06-08,<=19,1461964.0
2022-06-09,<=19,1460190.0
2022-06-10,<=19,1458348.0
2022-06-11,<=19,1456725.0
2022-06-12,<=19,1455155.0
