Fecha,agerange,Población
2022-02-16,<=39,9030677.0
2022-02-17,<=39,9043724.0
2022-02-18,<=39,9056753.0
2022-02-19,<=39,9057667.0
2022-02-20,<=39,9057758.0
2022-02-21,<=39,9072887.0
2022-02-22,<=39,9087458.0
2022-02-23,<=39,9100348.0
2022-02-24,<=39,9112376.0
2022-02-25,<=39,9123322.0
2022-02-26,<=39,9124229.0
2022-02-27,<=39,9124326.0
2022-02-28,<=39,9136007.0
2022-03-01,<=39,9147289.0
2022-03-02,<=39,9159076.0
2022-03-03,<=39,9170204.0
2022-03-04,<=39,9181063.0
2022-03-05,<=39,9181874.0
2022-03-06,<=39,9181914.0
2022-03-07,<=39,9194561.0
2022-03-08,<=39,9207358.0
2022-03-09,<=39,9218888.0
2022-03-10,<=39,9230852.0
2022-03-11,<=39,9242695.0
2022-03-12,<=39,9243726.0
2022-03-13,<=39,9243787.0
2022-03-14,<=39,9258591.0
2022-03-15,<=39,9270956.0
2022-03-16,<=39,9278832.0
2022-03-17,<=39,9285976.0
2022-03-18,<=39,9295145.0
2022-03-19,<=39,9296086.0
2022-03-20,<=39,9296138.0
2022-03-21,<=39,9302692.0
2022-03-22,<=39,9308327.0
2022-03-23,<=39,9313883.0
2022-03-24,<=39,9319031.0
2022-03-25,<=39,9326370.0
2022-03-26,<=39,9327250.0
2022-03-27,<=39,9327302.0
2022-03-28,<=39,9332648.0
2022-03-29,<=39,9337604.0
2022-03-30,<=39,9342248.0
2022-03-31,<=39,9346559.0
2022-04-01,<=39,9352675.0
2022-04-02,<=39,9353394.0
2022-04-03,<=39,9353432.0
2022-04-04,<=39,9358644.0
2022-04-05,<=39,9363694.0
2022-04-06,<=39,9368575.0
2022-04-07,<=39,9373144.0
2022-04-08,<=39,9379807.0
2022-04-09,<=39,9380685.0
2022-04-10,<=39,9380744.0
2022-04-11,<=39,9386747.0
2022-04-12,<=39,9391738.0
2020-12-24,40-49,
2020-12-25,40-49,
2020-12-26,40-49,
2020-12-27,40-49,
2020-12-28,40-49,
2020-12-29,40-49,
2020-12-30,40-49,
2020-12-31,40-49,
2021-01-01,40-49,
2021-01-02,40-49,
2021-01-03,40-49,
2021-01-04,40-49,
2021-01-05,40-49,
2021-01-06,40-49,
2021-01-07,40-49,
2021-01-08,40-49,
2021-01-09,40-49,
2021-01-10,40-49,
2021-01-11,40-49,
2021-01-12,40-49,
2021-01-13,40-49,
2021-01-14,40-49,
2021-01-15,40-49,
2021-01-16,40-49,
2021-01-17,40-49,
2021-01-18,40-49,
2021-01-19,40-49,
2021-01-20,40-49,
2021-01-21,40-49,0.0
2021-01-22,40-49,0.0
2021-01-23,40-49,0.0
2021-01-24,40-49,0.0
2021-01-25,40-49,0.0
2021-01-26,40-49,0.0
2021-01-27,40-49,175.0
2021-01-28,40-49,965.0
2021-01-29,40-49,1359.0
2021-01-30,40-49,1371.0
2021-01-31,40-49,1371.0
2021-02-01,40-49,1371.0
2021-02-02,40-49,1371.0
2021-02-03,40-49,1371.0
2021-02-04,40-49,1371.0
2021-02-05,40-49,1371.0
2021-02-06,40-49,1371.0
2021-02-07,40-49,1371.0
2021-02-08,40-49,1590.0
2021-02-09,40-49,1699.0
2021-02-10,40-49,1705.0
2021-02-11,40-49,1705.0
2021-02-12,40-49,1708.0
2021-02-13,40-49,1708.0
2021-02-14,40-49,1708.0
2021-02-15,40-49,1708.0
2021-02-16,40-49,1709.0
2021-02-17,40-49,1709.0
2021-02-18,40-49,2121.0
2021-02-19,40-49,2236.0
2021-02-20,40-49,2237.0
2021-02-21,40-49,2238.0
2021-02-22,40-49,4425.0
2021-02-23,40-49,8048.0
2021-02-24,40-49,9535.0
2021-02-25,40-49,10084.0
2021-02-26,40-49,10123.0
2021-02-27,40-49,10128.0
2021-02-28,40-49,10128.0
2021-03-01,40-49,10128.0
2021-03-02,40-49,10129.0
2021-03-03,40-49,10129.0
2021-03-04,40-49,10129.0
2021-03-05,40-49,10129.0
2021-03-06,40-49,10129.0
2021-03-07,40-49,10129.0
2021-03-08,40-49,10132.0
2021-03-09,40-49,10139.0
2021-03-10,40-49,10162.0
2021-03-11,40-49,10197.0
2021-03-12,40-49,10217.0
2021-03-13,40-49,10217.0
2021-03-14,40-49,10217.0
2021-03-15,40-49,10279.0
2021-03-16,40-49,12446.0
2021-03-17,40-49,29646.0
2021-03-18,40-49,44020.0
2021-03-19,40-49,56629.0
2021-03-20,40-49,58245.0
2021-03-21,40-49,58561.0
2021-03-22,40-49,71394.0
2021-03-23,40-49,88417.0
2021-03-24,40-49,107235.0
2021-03-25,40-49,126683.0
2021-03-26,40-49,143265.0
2021-03-27,40-49,146047.0
2021-03-28,40-49,146395.0
2021-03-29,40-49,166066.0
2021-03-30,40-49,188362.0
2021-03-31,40-49,219996.0
2021-04-01,40-49,247225.0
2021-04-02,40-49,259805.0
2021-04-03,40-49,260707.0
2021-04-04,40-49,260818.0
2021-04-05,40-49,270861.0
2021-04-06,40-49,279507.0
2021-04-07,40-49,293599.0
2021-04-08,40-49,307639.0
2021-04-09,40-49,315090.0
2021-04-10,40-49,315413.0
2021-04-11,40-49,315432.0
2021-04-12,40-49,321007.0
2021-04-13,40-49,326653.0
2021-04-14,40-49,332109.0
2021-04-15,40-49,337882.0
2021-04-16,40-49,338027.0
2021-04-17,40-49,338079.0
2021-04-18,40-49,338115.0
2021-04-19,40-49,346466.0
2021-04-20,40-49,354070.0
2021-04-21,40-49,362637.0
2021-04-22,40-49,375508.0
2021-04-23,40-49,432217.0
2021-04-24,40-49,435205.0
2021-04-25,40-49,435539.0
2021-04-26,40-49,502620.0
2021-04-27,40-49,553731.0
2021-04-28,40-49,587756.0
2021-04-29,40-49,615988.0
2021-04-30,40-49,643962.0
2021-05-01,40-49,647388.0
2021-05-02,40-49,647809.0
2021-05-03,40-49,682642.0
2021-05-04,40-49,719637.0
2021-05-05,40-49,746996.0
2021-05-06,40-49,768125.0
2021-05-07,40-49,787457.0
2021-05-08,40-49,789530.0
2021-05-09,40-49,789656.0
2021-05-10,40-49,808143.0
2021-05-11,40-49,824018.0
2021-05-12,40-49,839595.0
2021-05-13,40-49,852823.0
2021-05-14,40-49,857621.0
2021-05-15,40-49,857805.0
2021-05-16,40-49,857935.0
2021-05-17,40-49,869651.0
2021-05-18,40-49,881993.0
2021-05-19,40-49,895156.0
2021-05-20,40-49,907634.0
2021-05-21,40-49,918594.0
2021-05-22,40-49,920022.0
2021-05-23,40-49,920119.0
2021-05-24,40-49,947125.0
2021-05-25,40-49,982404.0
2021-05-26,40-49,1021234.0
2021-05-27,40-49,1046849.0
2021-05-28,40-49,1067561.0
2021-05-29,40-49,1067714.0
2021-05-30,40-49,1067794.0
2021-05-31,40-49,1084191.0
2021-06-01,40-49,1100598.0
2021-06-02,40-49,1114854.0
2021-06-03,40-49,1151402.0
2021-06-04,40-49,1152098.0
2021-06-05,40-49,1155168.0
2021-06-06,40-49,1155471.0
2021-06-07,40-49,1190321.0
2021-06-08,40-49,1223289.0
2021-06-09,40-49,1253257.0
2021-06-10,40-49,1273776.0
2021-06-11,40-49,1295609.0
2021-06-12,40-49,1298574.0
2021-06-13,40-49,1299104.0
2021-06-14,40-49,1340967.0
2021-06-15,40-49,1394395.0
2021-06-16,40-49,1450967.0
2021-06-17,40-49,1505123.0
2021-06-18,40-49,1558379.0
2021-06-19,40-49,1568204.0
2021-06-20,40-49,1569051.0
2021-06-21,40-49,1612549.0
2021-06-22,40-49,1646463.0
2021-06-23,40-49,1673940.0
2021-06-24,40-49,1696343.0
2021-06-25,40-49,1717616.0
2021-06-26,40-49,1720499.0
2021-06-27,40-49,1720669.0
2021-06-28,40-49,1737724.0
2021-06-29,40-49,1754535.0
2021-06-30,40-49,1772051.0
2021-07-01,40-49,1789763.0
2021-07-02,40-49,1801117.0
2021-07-03,40-49,1805600.0
2021-07-04,40-49,1806232.0
2021-07-05,40-49,1813072.0
2021-07-06,40-49,1847936.0
2021-07-07,40-49,1876320.0
2021-07-08,40-49,1898163.0
2021-07-09,40-49,1919346.0
2021-07-10,40-49,1924594.0
2021-07-11,40-49,1925171.0
2021-07-12,40-49,1926209.0
2021-07-13,40-49,1948998.0
2021-07-14,40-49,1965952.0
2021-07-15,40-49,1977739.0
2021-07-16,40-49,1987253.0
2021-07-17,40-49,1989933.0
2021-07-18,40-49,1990223.0
2021-07-19,40-49,2003544.0
2021-07-20,40-49,2015957.0
2021-07-21,40-49,2029818.0
2021-07-22,40-49,2043038.0
2021-07-23,40-49,2057069.0
2021-07-24,40-49,2061001.0
2021-07-25,40-49,2061478.0
2021-07-26,40-49,2073500.0
2021-07-27,40-49,2086287.0
2021-07-28,40-49,2096841.0
2021-07-29,40-49,2106967.0
2021-07-30,40-49,2108801.0
2021-07-31,40-49,2110645.0
2021-08-01,40-49,2110861.0
2021-08-02,40-49,2119503.0
2021-08-03,40-49,2127167.0
2021-08-04,40-49,2133787.0
2021-08-05,40-49,2138327.0
2021-08-06,40-49,2144040.0
2021-08-07,40-49,2145423.0
2021-08-08,40-49,2145528.0
2021-08-09,40-49,2151165.0
2021-08-10,40-49,2156794.0
2021-08-11,40-49,2160368.0
2021-08-12,40-49,2165678.0
2021-08-13,40-49,2169701.0
2021-08-14,40-49,2170666.0
2021-08-15,40-49,2170711.0
2021-08-16,40-49,2173821.0
2021-08-17,40-49,2177235.0
2021-08-18,40-49,2182661.0
2021-08-19,40-49,2186372.0
2021-08-20,40-49,2189252.0
2021-08-21,40-49,2189569.0
2021-08-22,40-49,2189580.0
2021-08-23,40-49,2192087.0
2021-08-24,40-49,2194245.0
2021-08-25,40-49,2200525.0
2021-08-26,40-49,2205241.0
2021-08-27,40-49,2208330.0
2021-08-28,40-49,2208418.0
2021-08-29,40-49,2208455.0
2021-08-30,40-49,2211578.0
2021-08-31,40-49,2214766.0
2021-09-01,40-49,2218496.0
2021-09-02,40-49,2221043.0
2021-09-03,40-49,2223454.0
2021-09-04,40-49,2223628.0
2021-09-05,40-49,2223658.0
2021-09-06,40-49,2227203.0
2021-09-07,40-49,2229763.0
2021-09-08,40-49,2231555.0
2021-09-09,40-49,2233969.0
2021-09-10,40-49,2235701.0
2021-09-11,40-49,2235795.0
2021-09-12,40-49,2235817.0
2021-09-13,40-49,2246798.0
2021-09-14,40-49,2259629.0
2021-09-15,40-49,2261952.0
2021-09-16,40-49,2263559.0
2021-09-17,40-49,2264956.0
2021-09-18,40-49,2265209.0
2021-09-19,40-49,2265306.0
2021-09-20,40-49,2274817.0
2021-09-21,40-49,2284296.0
2021-09-22,40-49,2286115.0
2021-09-23,40-49,2287338.0
2021-09-24,40-49,2288351.0
2021-09-25,40-49,2288570.0
2021-09-26,40-49,2288648.0
2021-09-27,40-49,2294737.0
2021-09-28,40-49,2300593.0
2021-09-29,40-49,2302570.0
2021-09-30,40-49,2303619.0
2021-10-01,40-49,2303806.0
2021-10-02,40-49,2303866.0
2021-10-03,40-49,2303897.0
2021-10-04,40-49,2307338.0
2021-10-05,40-49,2310953.0
2021-10-06,40-49,2313378.0
2021-10-07,40-49,2314763.0
2021-10-08,40-49,2315954.0
2021-10-09,40-49,2316024.0
2021-10-10,40-49,2316038.0
2021-10-11,40-49,2318547.0
2021-10-12,40-49,2321355.0
2021-10-13,40-49,2322802.0
2021-10-14,40-49,2323913.0
2021-10-15,40-49,2324705.0
2021-10-16,40-49,2324747.0
2021-10-17,40-49,2324758.0
2021-10-18,40-49,2326929.0
2021-10-19,40-49,2329181.0
2021-10-20,40-49,2330163.0
2021-10-21,40-49,2330924.0
2021-10-22,40-49,2331605.0
2021-10-23,40-49,2331656.0
2021-10-24,40-49,2331666.0
2021-10-25,40-49,2331775.0
2021-10-26,40-49,2333802.0
2021-10-27,40-49,2335212.0
2021-10-28,40-49,2336405.0
2021-10-29,40-49,2337110.0
2021-10-30,40-49,2337157.0
2021-10-31,40-49,2337167.0
2021-11-01,40-49,2338461.0
2021-11-02,40-49,2339913.0
2021-11-03,40-49,2341071.0
2021-11-04,40-49,2342253.0
2021-11-05,40-49,2343326.0
2021-11-06,40-49,2343357.0
2021-11-07,40-49,2343359.0
2021-11-08,40-49,2344855.0
2021-11-09,40-49,2346583.0
2021-11-10,40-49,2348193.0
2021-11-11,40-49,2349865.0
2021-11-12,40-49,2351366.0
2021-11-13,40-49,2351471.0
2021-11-14,40-49,2351480.0
2021-11-15,40-49,2351519.0
2021-11-16,40-49,2353664.0
2021-11-17,40-49,2355453.0
2021-11-18,40-49,2357058.0
2021-11-19,40-49,2358505.0
2021-11-20,40-49,2358627.0
2021-11-21,40-49,2358640.0
2021-11-22,40-49,2359736.0
2021-11-23,40-49,2361301.0
2021-11-24,40-49,2362743.0
2021-11-25,40-49,2364101.0
2021-11-26,40-49,2365329.0
2021-11-27,40-49,2365530.0
2021-11-28,40-49,2365546.0
2021-11-29,40-49,2367165.0
2021-11-30,40-49,2368644.0
2021-12-01,40-49,2369879.0
2021-12-02,40-49,2371097.0
2021-12-03,40-49,2372168.0
2021-12-04,40-49,2372277.0
2021-12-05,40-49,2372289.0
2021-12-06,40-49,2373627.0
2021-12-07,40-49,2374920.0
2021-12-08,40-49,2376160.0
2021-12-09,40-49,2377343.0
2021-12-10,40-49,2378494.0
2021-12-11,40-49,2378663.0
2021-12-12,40-49,2378681.0
2021-12-13,40-49,2379562.0
2021-12-14,40-49,2380884.0
2021-12-15,40-49,2382132.0
2021-12-16,40-49,2383315.0
2021-12-17,40-49,2384461.0
2021-12-18,40-49,2384624.0
2021-12-19,40-49,2384651.0
2021-12-20,40-49,2386002.0
2021-12-21,40-49,2387284.0
2021-12-22,40-49,2387315.0
2021-12-23,40-49,2388646.0
2021-12-24,40-49,2389770.0
2021-12-25,40-49,2389956.0
2021-12-26,40-49,2389982.0
2021-12-27,40-49,2391413.0
2021-12-28,40-49,2392664.0
2021-12-29,40-49,2393772.0
2021-12-30,40-49,2394780.0
2021-12-31,40-49,2395647.0
2022-01-01,40-49,2395769.0
2022-01-02,40-49,2395776.0
2022-01-03,40-49,2396786.0
