Fecha,agerange,Porcentaje de la población
2022-01-16,<=39,77.31296301326404
2022-01-17,<=39,77.44231246592912
2022-01-18,<=39,77.58327997186566
2022-01-19,<=39,77.68367393682486
2022-01-20,<=39,77.91753208164945
2022-01-21,<=39,78.16048924196058
2022-01-22,<=39,78.17789839277322
2022-01-23,<=39,78.17944029490492
2022-01-24,<=39,78.42709487798938
2022-01-25,<=39,78.65214087284032
2022-01-26,<=39,78.85243575265845
2022-01-27,<=39,79.04415156073216
2022-01-28,<=39,79.2228239525173
2022-01-29,<=39,79.23885256304924
2022-01-30,<=39,79.23965040775691
2022-01-31,<=39,79.43191305321454
2022-02-01,<=39,79.58456136425349
2022-02-02,<=39,79.74471300136359
2022-02-03,<=39,79.86845961198033
2022-02-04,<=39,79.96178951368496
2022-02-05,<=39,79.97038651452397
2022-02-06,<=39,79.97091542281332
2022-02-07,<=39,80.10602907937775
2022-02-08,<=39,80.2439038165036
2022-02-09,<=39,80.37327119826324
2022-02-10,<=39,80.49111017222418
2022-02-11,<=39,80.58133834057087
2022-02-12,<=39,80.58855480112913
2022-02-13,<=39,80.58913749670216
2022-02-14,<=39,80.7231395494042
2022-02-15,<=39,80.85100088722125
2022-02-16,<=39,80.9760473571932
2022-02-17,<=39,81.09303469916279
2022-02-18,<=39,81.2098965374705
2022-02-19,<=39,81.21809013368203
2022-02-20,<=39,81.21890590748426
2022-02-21,<=39,81.35461122416899
2022-02-22,<=39,81.48529639437841
2022-02-23,<=39,81.60090319606729
2022-02-24,<=39,81.70874669981397
2022-02-25,<=39,81.80691745704839
2022-02-26,<=39,81.81505726597624
2022-02-27,<=39,81.81592682706213
2022-02-28,<=39,81.92070445563996
2022-03-01,<=39,82.02186040711774
2022-03-02,<=39,82.1275344904233
2022-03-03,<=39,82.22736368890403
2022-03-04,<=39,82.3248441759981
2022-03-05,<=39,82.33212338838732
2022-03-06,<=39,82.33249093482567
2022-03-07,<=39,82.44587452878977
2022-03-08,<=39,82.5606386630346
2022-03-09,<=39,82.66403575133171
2022-03-10,<=39,82.77135034678903
2022-03-11,<=39,82.87754437383668
2022-03-12,<=39,82.88679578662692
2022-03-13,<=39,82.88734262401084
2022-03-14,<=39,83.02016135647227
2022-03-15,<=39,83.13101694810415
2022-03-16,<=39,83.2016037933661
2022-03-17,<=39,83.2656465191156
2022-03-18,<=39,83.34790520493269
2022-03-19,<=39,83.35633187937341
2022-03-20,<=39,83.35679803583183
2022-03-21,<=39,83.41556960778223
2022-03-22,<=39,83.466111725332
2022-03-23,<=39,83.51595460819415
2022-03-24,<=39,83.56213099121985
2022-03-25,<=39,83.62798455551936
2022-03-26,<=39,83.63586439257618
2022-03-27,<=39,83.6363305490346
2022-03-28,<=39,83.68426398332666
2022-03-29,<=39,83.72873710236966
2022-03-30,<=39,83.77040431811484
2022-03-31,<=39,83.80905944597484
2022-04-01,<=39,83.86391351076503
2022-04-02,<=39,83.87036798480474
2022-04-03,<=39,83.87070863760128
2022-04-04,<=39,83.9174677162
2022-04-05,<=39,83.96277453813981
2022-04-06,<=39,84.00658428068428
2022-04-07,<=39,84.04753433264727
2022-04-08,<=39,84.10726511115635
2022-04-09,<=39,84.11513598366588
2022-04-10,<=39,84.11566489195525
2022-04-11,<=39,84.16947906926126
2022-04-12,<=39,84.21436455747902
2022-04-13,<=39,84.2551263539492
2022-04-14,<=39,84.2902494501819
2022-04-15,<=39,84.3405853831443
2022-04-16,<=39,84.3462151188345
2022-04-17,<=39,84.34641233887459
2022-04-18,<=39,84.38556948138212
2022-04-19,<=39,84.41859487355192
2022-04-20,<=39,84.44855439055287
2022-04-21,<=39,84.47576179153967
2022-04-22,<=39,84.51395076294125
2022-04-23,<=39,84.52023491058267
2022-04-24,<=39,84.52043213062278
2022-04-25,<=39,84.55023028577273
2022-04-26,<=39,84.57460488981988
2022-04-27,<=39,84.59764377632271
2022-04-28,<=39,84.62495875187685
2022-04-29,<=39,84.62512907827511
2022-04-30,<=39,84.62531733376794
2022-05-01,<=39,84.62540697924071
2022-05-02,<=39,84.65148484727057
2022-05-03,<=39,84.67437133646966
2022-05-04,<=39,84.69641515822471
2022-05-05,<=39,84.71556343120916
2022-05-06,<=39,84.74077173815311
2022-05-07,<=39,84.74527194088634
2022-05-08,<=39,84.74540640909551
2022-05-09,<=39,84.76810464280179
2022-05-10,<=39,84.78762046222461
2022-05-11,<=39,84.80689423887094
2022-05-12,<=39,84.82672381744847
2022-05-13,<=39,84.84975373940402
2022-05-14,<=39,84.85366228201696
2022-05-15,<=39,84.85366228201696
2022-05-16,<=39,84.87504272727347
2022-05-17,<=39,84.89557154053863
2022-05-18,<=39,84.91650375843128
2022-05-19,<=39,84.9360554360432
2022-05-20,<=39,84.95849369787845
2022-05-21,<=39,84.96276082238246
2022-05-22,<=39,84.96297597151712
2022-05-23,<=39,84.98513633238677
2022-05-24,<=39,85.00481351366058
2022-05-25,<=39,85.02447276583985
2022-05-26,<=39,85.04431130896465
2022-05-27,<=39,85.06501044862807
2022-05-28,<=39,85.0696002968341
2022-05-29,<=39,85.06995887872519
2022-05-30,<=39,85.09280950973519
2022-05-31,<=39,85.11716618468779
2022-06-01,<=39,85.14289443537382
2022-06-02,<=39,85.16682977660437
2022-06-03,<=39,85.1928807509924
2022-06-04,<=39,85.19600041344492
2022-06-05,<=39,85.19643967626152
2022-06-06,<=39,85.22186313234012
2022-06-07,<=39,85.24521577799766
2022-06-08,<=39,85.26985035391584
2022-06-09,<=39,85.29457457530681
2022-06-10,<=39,85.31856370382104
2022-06-11,<=39,85.32564569617016
2022-06-12,<=39,85.32621046264863
2022-06-13,<=39,85.350818144925
2022-06-14,<=39,85.37759524764247
2022-06-15,<=39,85.40248083088444
2022-06-16,<=39,85.42444397171398
2022-06-17,<=39,85.4438432520222
2022-06-18,<=39,85.44884546940297
2022-06-19,<=39,85.44932955495594
2022-06-20,<=39,85.47257462604615
2022-06-21,<=39,85.49339926937148
2022-06-22,<=39,85.51454663639876
2022-06-23,<=39,85.535012697833
2022-06-24,<=39,85.55642900127862
2022-06-25,<=39,85.56103677857918
2022-06-26,<=39,85.5614222541121
2022-06-27,<=39,85.5817359182426
2022-06-28,<=39,85.60103658853077
2022-06-29,<=39,85.6203103651771
2020-12-24,40-49,
2020-12-25,40-49,
2020-12-26,40-49,
2020-12-27,40-49,
2020-12-28,40-49,
2020-12-29,40-49,
2020-12-30,40-49,
2020-12-31,40-49,
2021-01-01,40-49,
2021-01-02,40-49,
2021-01-03,40-49,
2021-01-04,40-49,
2021-01-05,40-49,
2021-01-06,40-49,
2021-01-07,40-49,
2021-01-08,40-49,
2021-01-09,40-49,
2021-01-10,40-49,
2021-01-11,40-49,
2021-01-12,40-49,
2021-01-13,40-49,
2021-01-14,40-49,
2021-01-15,40-49,
2021-01-16,40-49,
2021-01-17,40-49,
2021-01-18,40-49,
2021-01-19,40-49,
2021-01-20,40-49,
2021-01-21,40-49,0.0
2021-01-22,40-49,0.0
2021-01-23,40-49,0.0
2021-01-24,40-49,0.0
2021-01-25,40-49,0.0
2021-01-26,40-49,0.0
2021-01-27,40-49,0.006582775772225427
2021-01-28,40-49,0.03644976984735107
2021-01-29,40-49,0.051308035161802754
2021-01-30,40-49,0.05175942550046963
2021-01-31,40-49,0.05175942550046963
2021-02-01,40-49,0.05175942550046963
2021-02-02,40-49,0.05175942550046963
2021-02-03,40-49,0.05175942550046963
2021-02-04,40-49,0.05175942550046963
2021-02-05,40-49,0.05175942550046963
2021-02-06,40-49,0.05175942550046963
2021-02-07,40-49,0.05175942550046963
2021-02-08,40-49,0.059997299181140315
2021-02-09,40-49,0.06409742809069786
2021-02-10,40-49,0.0643231232600313
2021-02-11,40-49,0.0643231232600313
2021-02-12,40-49,0.06443597084469803
2021-02-13,40-49,0.06443597084469803
2021-02-14,40-49,0.06443597084469803
2021-02-15,40-49,0.06443597084469803
2021-02-16,40-49,0.06447358670625361
2021-02-17,40-49,0.06447358670625361
2021-02-18,40-49,0.0800089375287056
2021-02-19,40-49,0.0843347616075966
2021-02-20,40-49,0.08437237746915217
2021-02-21,40-49,0.08440999333070774
2021-02-22,40-49,0.16678873013741452
2021-02-23,40-49,0.3032214599994809
2021-02-24,40-49,0.3591938619941748
2021-02-25,40-49,0.37984496998818484
2021-02-26,40-49,0.3813496044504078
2021-02-27,40-49,0.3815376837581857
2021-02-28,40-49,0.3815376837581857
2021-03-01,40-49,0.3815376837581857
2021-03-02,40-49,0.3815752996197413
2021-03-03,40-49,0.3815752996197413
2021-03-04,40-49,0.3815752996197413
2021-03-05,40-49,0.3815752996197413
2021-03-06,40-49,0.3815752996197413
2021-03-07,40-49,0.3815752996197413
2021-03-08,40-49,0.38168814720440797
2021-03-09,40-49,0.381951458235297
2021-03-10,40-49,0.3828166230510752
2021-03-11,40-49,0.3841331782055203
2021-03-12,40-49,0.38488549543663175
2021-03-13,40-49,0.38488549543663175
2021-03-14,40-49,0.38488549543663175
2021-03-15,40-49,0.38721767885307734
2021-03-16,40-49,0.46884409842867264
2021-03-17,40-49,1.1173039357852104
2021-03-18,40-49,1.6591980373548074
2021-03-19,40-49,2.1341735212170385
2021-03-20,40-49,2.1950736010755127
2021-03-21,40-49,2.206960213327074
2021-03-22,40-49,2.6902864184546424
2021-03-23,40-49,3.3311102359153986
2021-03-24,40-49,4.039868299345522
2021-03-25,40-49,4.772249123832545
2021-03-26,40-49,5.396634809793515
2021-03-27,40-49,5.501583063533566
2021-03-28,40-49,5.514673383354906
2021-03-29,40-49,6.255743471861266
2021-03-30,40-49,7.094426721104341
2021-03-31,40-49,8.284705428307365
2021-04-01,40-49,9.309248649496531
2021-04-02,40-49,9.782757114758095
2021-04-03,40-49,9.816837085327444
2021-04-04,40-49,9.821050061821667
2021-04-05,40-49,10.199315165624519
2021-04-06,40-49,10.524993294972678
2021-04-07,40-49,11.054624625675158
2021-04-08,40-49,11.582412779161414
2021-04-09,40-49,11.863102338089107
2021-04-10,40-49,11.875214645510002
2021-04-11,40-49,11.875929346879557
2021-04-12,40-49,12.08616439711366
2021-04-13,40-49,12.298731630764207
2021-04-14,40-49,12.50479132036564
2021-04-15,40-49,12.722474311187748
2021-04-16,40-49,12.727928611113306
2021-04-17,40-49,12.729922251775752
2021-04-18,40-49,12.731276422791751
2021-04-19,40-49,13.047362507443239
2021-04-20,40-49,13.336703714528714
2021-04-21,40-49,13.661554294922649
2021-04-22,40-49,14.14928155585222
2021-04-23,40-49,16.28097243020659
2021-04-24,40-49,16.393895246596422
2021-04-25,40-49,16.406458944355983
2021-04-26,40-49,18.928752925103435
2021-04-27,40-49,20.85081060300859
2021-04-28,40-49,22.130915987606326
2021-04-29,40-49,23.192886991043288
2021-04-30,40-49,24.245454029091356
2021-05-01,40-49,24.374476434226974
2021-05-02,40-49,24.39031271194187
2021-05-03,40-49,25.700510785784065
2021-05-04,40-49,27.092861901263632
2021-05-05,40-49,28.122520879624354
2021-05-06,40-49,28.91835966255563
2021-05-07,40-49,29.646151351932872
2021-05-08,40-49,29.724279496383797
2021-05-09,40-49,29.7290190949398
2021-05-10,40-49,30.425288692333474
2021-05-11,40-49,31.024170824159764
2021-05-12,40-49,31.610790185118944
2021-05-13,40-49,32.10923796659185
2021-05-14,40-49,32.29009502895105
2021-05-15,40-49,32.297091579200384
2021-05-16,40-49,32.30194402534106
2021-05-17,40-49,32.74359185586505
2021-05-18,40-49,33.20882483158438
2021-05-19,40-49,33.704075264825065
2021-05-20,40-49,34.173558832900184
2021-05-21,40-49,34.58620483416483
2021-05-22,40-49,34.639957900327744
2021-05-23,40-49,34.64356902303708
2021-05-24,40-49,35.65904682159135
2021-05-25,40-49,36.98564541107178
2021-05-26,40-49,38.44574269321293
2021-05-27,40-49,39.4092353710974
2021-05-28,40-49,40.18848555908267
2021-05-29,40-49,40.19424078590067
2021-05-30,40-49,40.19732528654823
2021-05-31,40-49,40.81422541605964
2021-06-01,40-49,41.43105031384794
2021-06-02,40-49,41.96767819479976
2021-06-03,40-49,43.34253793465599
2021-06-04,40-49,43.36883142188333
2021-06-05,40-49,43.48419926927427
2021-06-06,40-49,43.49559687532562
2021-06-07,40-49,44.8063968029527
2021-06-08,40-49,46.045914672931964
2021-06-09,40-49,47.17266018996762
2021-06-10,40-49,47.94450005322645
2021-06-11,40-49,48.765616695123065
2021-06-12,40-49,48.877072492912234
2021-06-13,40-49,48.8970841312598
2021-06-14,40-49,50.47142078494523
2021-06-15,40-49,52.480446334766874
2021-06-16,40-49,54.607736153319244
2021-06-17,40-49,56.644446977245785
2021-06-18,40-49,58.64741637335699
2021-06-19,40-49,59.01691698141739
2021-06-20,40-49,59.04877761615496
2021-06-21,40-49,60.685782295191984
2021-06-22,40-49,61.96163708743393
2021-06-23,40-49,62.99513288367332
2021-06-24,40-49,63.838630963195506
2021-06-25,40-49,64.63958550329835
2021-06-26,40-49,64.74814487974774
2021-06-27,40-49,64.75453957621218
2021-06-28,40-49,65.39649186951961
2021-06-29,40-49,66.02930350846903
2021-06-30,40-49,66.68912333601534
2021-07-01,40-49,67.35601494553411
2021-07-02,40-49,67.78299259005142
2021-07-03,40-49,67.95181257671284
2021-07-04,40-49,67.97554818535441
2021-07-05,40-49,68.2328782942561
2021-07-06,40-49,69.5448443135914
2021-07-07,40-49,70.61321001349282
2021-07-08,40-49,71.43504135675899
